Team_Name,Player_Name,Position,Cost
Kirby Puckett,Riley Greene,"CF,RF",10
Kirby Puckett,Edouard Julien,2B,9
Kirby Puckett,Jake Fraley,"LF,RF",1
Kirby Puckett,Brent Rooker,"LF,RF",1
Kirby Puckett,Javier Baez,SS,1
Kirby Puckett,Ty France,1B,1
Kirby Puckett,Alejandro Kirk,C,1
Kirby Puckett,Garrett Crochet,RP,1
Kirby Puckett,Henry Davis,RF,1
Kirby Puckett,Jordan Lawlar,SS,1
Kirby Puckett,Tyler Rogers,RP,2
Kirby Puckett,Mitch Haniger,"LF,RF",1
Kirby Puckett,George Kirby,SP,28
Kirby Puckett,Royce Lewis,3B,10
Kirby Puckett,Corbin Carroll,"LF,CF,RF",20
